"id","parent_id","name","fullname","parent_name","name_ru","name_en"
134,NULL,"√¿«","","","√¿«",NULL
135,NULL,"≈–¿«","","","≈–¿«",NULL
136,NULL,"—Â¿«","","","—Â¿«",NULL
137,NULL," ¿Ã¿«","",""," ¿Ã¿«",NULL
138,NULL,"«¿«","","","«¿«",NULL
139,NULL,"«»À","","","«»À",NULL
140,NULL,"»∆","","","»∆",NULL
141,NULL,"À”¿«","","","À”¿«",NULL
142,NULL,"ÃÓÒÍ‚Ë˜","","","ÃÓÒÍ‚Ë˜",NULL
143,NULL,"”¿«","","","”¿«",NULL
144,1,"MC 1","","Microcar","MC 1",NULL
145,2,"Ace","","AC","Ace",NULL
146,2,"Aceca","","AC","Aceca",NULL
147,2,"Cobra","","AC","Cobra",NULL
148,2,"Mamba","","AC","Mamba",NULL
149,3,"CL","","Acura","CL",NULL
150,3,"CSX","","Acura","CSX",NULL
151,3,"EL","","Acura","EL",NULL
152,3,"Integra","","Acura","Integra",NULL
153,3,"Legend","","Acura","Legend",NULL
154,3,"MDX","","Acura","MDX",NULL
155,3,"NSX","","Acura","NSX",NULL
156,3,"RDX","","Acura","RDX",NULL
157,3,"RL","","Acura","RL",NULL
158,3,"RSX","","Acura","RSX",NULL
159,3,"SLX","","Acura","SLX",NULL
160,3,"TL","","Acura","TL",NULL
161,3,"TSX","","Acura","TSX",NULL
162,4,"Pickup","","Admiral","Pickup",NULL
163,5,"145","","Alfa Romeo","145",NULL
164,5,"146","","Alfa Romeo","146",NULL
165,5,"147","","Alfa Romeo","147",NULL
166,5,"155","","Alfa Romeo","155",NULL
167,5,"156","","Alfa Romeo","156",NULL
168,5,"159","","Alfa Romeo","159",NULL
169,5,"164","","Alfa Romeo","164",NULL
170,5,"166","","Alfa Romeo","166",NULL
171,5,"33","","Alfa Romeo","33",NULL
172,5,"75","","Alfa Romeo","75",NULL
173,5,"8C Competizione","","Alfa Romeo","8C Competizione",NULL
174,5,"90","","Alfa Romeo","90",NULL
175,5,"Alfasud","","Alfa Romeo","Alfasud",NULL
176,5,"Alfetta","","Alfa Romeo","Alfetta",NULL
177,5,"Brera","","Alfa Romeo","Brera",NULL
178,5,"GT","","Alfa Romeo","GT",NULL
179,5,"GTV","","Alfa Romeo","GTV",NULL
180,5,"Giulietta","","Alfa Romeo","Giulietta",NULL
181,5,"MiTo","","Alfa Romeo","MiTo",NULL
182,5,"Spider","","Alfa Romeo","Spider",NULL
183,6,"B10","","Alpina","B10",NULL
184,6,"B12","","Alpina","B12",NULL
185,6,"B3","","Alpina","B3",NULL
186,6,"B7","","Alpina","B7",NULL
187,6,"B8","","Alpina","B8",NULL
188,6,"D10","","Alpina","D10",NULL
189,6,"Roadster S","","Alpina","Roadster S",NULL
190,7,"10","","Aro","10",NULL
191,7,"24","","Aro","24",NULL
192,7,"243","","Aro","243",NULL
193,7,"244","","Aro","244",NULL
194,7,"245","","Aro","245",NULL
195,7,"246","","Aro","246",NULL
196,7,"Spartana","","Aro","Spartana",NULL
197,8,"Hi-Topic","","Asia","Hi-Topic",NULL
198,8,"Retona","","Asia","Retona",NULL
199,8,"Rocsta","","Asia","Rocsta",NULL
200,9,"DB7","","Aston Martin","DB7",NULL
201,9,"DB9","","Aston Martin","DB9",NULL
202,9,"DBS","","Aston Martin","DBS",NULL
203,9,"V12 Vanquish","","Aston Martin","V12 Vanquish",NULL
204,9,"V8 Vantage","","Aston Martin","V8 Vantage",NULL
205,10,"100","","Audi","100",NULL
206,10,"200","","Audi","200",NULL
207,10,"5000","","Audi","5000",NULL
208,10,"80","","Audi","80",NULL
209,10,"90","","Audi","90",NULL
210,10,"A2","","Audi","A2",NULL
211,10,"A3","","Audi","A3",NULL
212,10,"A4","","Audi","A4",NULL
213,10,"A5","","Audi","A5",NULL
214,10,"A6","","Audi","A6",NULL
215,10,"A6 allroad quattro","","Audi","A6 allroad quattro",NULL
216,10,"A8","","Audi","A8",NULL
217,10,"Cabriolet","","Audi","Cabriolet",NULL
218,10,"Q5","","Audi","Q5",NULL
219,10,"Q7","","Audi","Q7",NULL
220,10,"R8","","Audi","R8",NULL
221,10,"RS4","","Audi","RS4",NULL
222,10,"RS6","","Audi","RS6",NULL
223,10,"S2","","Audi","S2",NULL
224,10,"S3","","Audi","S3",NULL
225,10,"S4","","Audi","S4",NULL
226,10,"S5","","Audi","S5",NULL
227,10,"S6","","Audi","S6",NULL
228,10,"S8","","Audi","S8",NULL
229,10,"TT","","Audi","TT",NULL
230,10,"V8","","Audi","V8",NULL
231,11,"1 series","","BMW","1 series",NULL
232,11,"3 series","","BMW","3 series",NULL
233,11,"5 series","","BMW","5 series",NULL
234,11,"6 series","","BMW","6 series",NULL
235,11,"7 series","","BMW","7 series",NULL
236,11,"8 series","","BMW","8 series",NULL
237,11,"M3","","BMW","M3",NULL
238,11,"M5","","BMW","M5",NULL
239,11,"M6","","BMW","M6",NULL
240,11,"X3","","BMW","X3",NULL
241,11,"X5","","BMW","X5",NULL
242,11,"X6","","BMW","X6",NULL
243,11,"Z1","","BMW","Z1",NULL
244,11,"Z3","","BMW","Z3",NULL
245,11,"Z4","","BMW","Z4",NULL
246,11,"Z4 M","","BMW","Z4 M",NULL
247,11,"Z8","","BMW","Z8",NULL
248,12,"F0","","BYD","F0",NULL
249,12,"F3","","BYD","F3",NULL
250,12,"F6","","BYD","F6",NULL
251,12,"F6","","BYD","F6",NULL
252,12,"Flyer","","BYD","Flyer",NULL
253,13,"Arnage","","Bentley","Arnage",NULL
254,13,"Azure","","Bentley","Azure",NULL
255,13,"Brooklands","","Bentley","Brooklands",NULL
256,13,"Continental","","Bentley","Continental",NULL
257,13,"Continental Flying Spur","","Bentley","Continental Flying Spur",NULL
258,13,"Continental GT","","Bentley","Continental GT",NULL
259,13,"Mulsanne","","Bentley","Mulsanne",NULL
260,13,"Turbo RT","","Bentley","Turbo RT",NULL
261,14,"M1 (Zhonghua)","","Brilliance","M1 (Zhonghua)",NULL
262,14,"M2 (JunJie)","","Brilliance","M2 (JunJie)",NULL
264,15,"EB 110","","Bugatti","EB 110",NULL
265,15,"EB 112","","Bugatti","EB 112",NULL
266,15,"Veyron 16.4","","Bugatti","Veyron 16.4",NULL
267,16,"Century","","Buick","Century",NULL
268,16,"Electra","","Buick","Electra",NULL
269,16,"Enclave","","Buick","Enclave",NULL
270,16,"GL8","","Buick","GL8",NULL
271,16,"La Crosse","","Buick","La Crosse",NULL
272,16,"Le Sabre","","Buick","Le Sabre",NULL
273,16,"Lucerne","","Buick","Lucerne",NULL
274,16,"Park Avenue","","Buick","Park Avenue",NULL
275,16,"Rainer","","Buick","Rainer",NULL
276,16,"Regal","","Buick","Regal",NULL
277,16,"RendezVous","","Buick","RendezVous",NULL
278,16,"Riviera","","Buick","Riviera",NULL
279,16,"Roadmaster","","Buick","Roadmaster",NULL
280,16,"Skylark","","Buick","Skylark",NULL
281,16,"Terraza","","Buick","Terraza",NULL
282,17,"BLS","","Cadillac","BLS",NULL
283,17,"CTS","","Cadillac","CTS",NULL
284,17,"Catera","","Cadillac","Catera",NULL
285,17,"DTS","","Cadillac","DTS",NULL
286,17,"De Ville","","Cadillac","De Ville",NULL
287,17,"Eldorado","","Cadillac","Eldorado",NULL
288,17,"Escalade","","Cadillac","Escalade",NULL
289,17,"Fleetwood","","Cadillac","Fleetwood",NULL
290,17,"SRX","","Cadillac","SRX",NULL
291,17,"STS","","Cadillac","STS",NULL
292,17,"Seville","","Cadillac","Seville",NULL
293,17,"XLR","","Cadillac","XLR",NULL
294,18,"C21","","Caterham","C21",NULL
295,18,"Super Seven","","Caterham","Super Seven",NULL
296,19,"Flying","","ChangFeng","Flying",NULL
297,19,"SUV","","ChangFeng","SUV",NULL
298,20,"Amulet","","Chery","Amulet",NULL
299,20,"B11 (Oriental Son)","","Chery","B11 (Oriental Son)",NULL
300,20,"B14","","Chery","B14",NULL
301,20,"Eastar","","Chery","Eastar",NULL
302,20,"Fora","","Chery","Fora",NULL
303,20,"Kimo","","Chery","Kimo",NULL
304,20,"QQ","","Chery","QQ",NULL
305,20,"QQ 6","","Chery","QQ 6",NULL
306,20,"Swift","","Chery","Swift",NULL
307,20,"Tiggo","","Chery","Tiggo",NULL
308,20,"Windcloud","","Chery","Windcloud",NULL
309,21,"Alero","","Chevrolet","Alero",NULL
310,21,"Astro","","Chevrolet","Astro",NULL
311,21,"Avalanche","","Chevrolet","Avalanche",NULL
312,21,"Aveo","","Chevrolet","Aveo",NULL
313,21,"Beretta","","Chevrolet","Beretta",NULL
314,21,"Blazer","","Chevrolet","Blazer",NULL
315,21,"Camaro","","Chevrolet","Camaro",NULL
316,21,"Caprice","","Chevrolet","Caprice",NULL
317,21,"Captiva","","Chevrolet","Captiva",NULL
318,21,"Cavalier","","Chevrolet","Cavalier",NULL
319,21,"Celta","","Chevrolet","Celta",NULL
320,21,"Chevi C2","","Chevrolet","Chevi C2",NULL
321,21,"Classic","","Chevrolet","Classic",NULL
322,21,"Cobalt","","Chevrolet","Cobalt",NULL
323,21,"Colorado","","Chevrolet","Colorado",NULL
324,21,"Conversion Van","","Chevrolet","Conversion Van",NULL
325,21,"Corsa","","Chevrolet","Corsa",NULL
326,21,"Corsica","","Chevrolet","Corsica",NULL
327,21,"Corvette","","Chevrolet","Corvette",NULL
328,21,"Cruze","","Chevrolet","Cruze",NULL
329,21,"Epica","","Chevrolet","Epica",NULL
330,21,"Equinox","","Chevrolet","Equinox",NULL
331,21,"Evanda","","Chevrolet","Evanda",NULL
332,21,"Express","","Chevrolet","Express",NULL
333,21,"Geo Storm","","Chevrolet","Geo Storm",NULL
334,21,"Geo Tracker","","Chevrolet","Geo Tracker",NULL
335,21,"HHR","","Chevrolet","HHR",NULL
336,21,"Impala","","Chevrolet","Impala",NULL
337,21,"Ipanema","","Chevrolet","Ipanema",NULL
338,21,"K3500","","Chevrolet","K3500",NULL
339,21,"Lacetti","","Chevrolet","Lacetti",NULL
340,21,"Lanos","","Chevrolet","Lanos",NULL
341,21,"Lumina","","Chevrolet","Lumina",NULL
342,21,"Malibu","","Chevrolet","Malibu",NULL
343,21,"Meriva","","Chevrolet","Meriva",NULL
344,21,"Metro","","Chevrolet","Metro",NULL
345,21,"Montana","","Chevrolet","Montana",NULL
346,21,"Monte Carlo","","Chevrolet","Monte Carlo",NULL
347,21,"Monza","","Chevrolet","Monza",NULL
348,21,"Niva","","Chevrolet","Niva",NULL
349,21,"Nova","","Chevrolet","Nova",NULL
350,21,"Omega","","Chevrolet","Omega",NULL
351,21,"Prizm","","Chevrolet","Prizm",NULL
352,21,"Prizma","","Chevrolet","Prizma",NULL
353,21,"Rezzo","","Chevrolet","Rezzo",NULL
354,21,"S-10","","Chevrolet","S-10",NULL
355,21,"SSR","","Chevrolet","SSR",NULL
356,21,"Savana","","Chevrolet","Savana",NULL
357,21,"Silver","","Chevrolet","Silver",NULL
358,21,"Silverado","","Chevrolet","Silverado",NULL
359,21,"Spark","","Chevrolet","Spark",NULL
360,21,"Starcraft","","Chevrolet","Starcraft",NULL
361,21,"Suburban","","Chevrolet","Suburban",NULL
362,21,"Tahoe","","Chevrolet","Tahoe",NULL
363,21,"Tracker","","Chevrolet","Tracker",NULL
364,21,"TrailBlazer","","Chevrolet","TrailBlazer",NULL
365,21,"TransSport","","Chevrolet","TransSport",NULL
366,21,"Uplander","","Chevrolet","Uplander",NULL
367,21,"Van","","Chevrolet","Van",NULL
368,21,"Vectra","","Chevrolet","Vectra",NULL
369,21,"Venture","","Chevrolet","Venture",NULL
370,21,"Viva","","Chevrolet","Viva",NULL
371,21,"Zafira","","Chevrolet","Zafira",NULL
372,22,"300C","","Chrysler","300C",NULL
373,22,"300M","","Chrysler","300M",NULL
374,22,"Aspen","","Chrysler","Aspen",NULL
375,22,"Cirrus","","Chrysler","Cirrus",NULL
376,22,"Concorde","","Chrysler","Concorde",NULL
377,22,"Crossfire","","Chrysler","Crossfire",NULL
378,22,"Daytona","","Chrysler","Daytona",NULL
379,22,"Grand Voyager","","Chrysler","Grand Voyager",NULL
380,22,"Intrepid","","Chrysler","Intrepid",NULL
381,22,"LHS","","Chrysler","LHS",NULL
382,22,"Le Baron","","Chrysler","Le Baron",NULL
383,22,"Neon","","Chrysler","Neon",NULL
384,22,"New Yorker","","Chrysler","New Yorker",NULL
385,22,"PT Cruiser","","Chrysler","PT Cruiser",NULL
386,22,"Pacifica","","Chrysler","Pacifica",NULL
387,22,"Prowler","","Chrysler","Prowler",NULL
388,22,"Saratoga","","Chrysler","Saratoga",NULL
389,22,"Sebring","","Chrysler","Sebring",NULL
390,22,"Stratus","","Chrysler","Stratus",NULL
391,22,"Town&amp;Country","","Chrysler","Town&amp;Country",NULL
392,22,"Viper","","Chrysler","Viper",NULL
393,22,"Vision","","Chrysler","Vision",NULL
394,22,"Voyager","","Chrysler","Voyager",NULL
395,23,"AX","","Citroen","AX",NULL
396,23,"BX","","Citroen","BX",NULL
397,23,"Berlingo","","Citroen","Berlingo",NULL
398,23,"C-Crosser","","Citroen","C-Crosser",NULL
399,23,"C-Triomphe","","Citroen","C-Triomphe",NULL
400,23,"C1","","Citroen","C1",NULL
401,23,"C15","","Citroen","C15",NULL
402,23,"C2","","Citroen","C2",NULL
403,23,"C3","","Citroen","C3",NULL
404,23,"C3 Pluriel","","Citroen","C3 Pluriel",NULL
405,23,"C4","","Citroen","C4",NULL
406,23,"C4 Picasso","","Citroen","C4 Picasso",NULL
407,23,"C5","","Citroen","C5",NULL
408,23,"C6","","Citroen","C6",NULL
409,23,"C8","","Citroen","C8",NULL
410,23,"CX","","Citroen","CX",NULL
411,23,"Evasion","","Citroen","Evasion",NULL
412,23,"Grand C4 Picasso","","Citroen","Grand C4 Picasso",NULL
413,23,"Jumper","","Citroen","Jumper",NULL
414,23,"Jumpy","","Citroen","Jumpy",NULL
415,23,"Saxo","","Citroen","Saxo",NULL
416,23,"Visa","","Citroen","Visa",NULL
417,23,"XM","","Citroen","XM",NULL
418,23,"Xantia","","Citroen","Xantia",NULL
419,23,"Xsara","","Citroen","Xsara",NULL
420,23,"Xsara Picasso","","Citroen","Xsara Picasso",NULL
421,23,"ZX","","Citroen","ZX",NULL
422,24,"City Leading","","DADI","City Leading",NULL
423,24,"Shuttle","","DADI","Shuttle",NULL
424,24,"Smoothing","","DADI","Smoothing",NULL
425,25,"1304","","Dacia","1304",NULL
426,25,"1310","","Dacia","1310",NULL
427,25,"1325","","Dacia","1325",NULL
428,25,"1410","","Dacia","1410",NULL
429,25,"Logan","","Dacia","Logan",NULL
430,25,"Nova","","Dacia","Nova",NULL
431,26,"Arcadia","","Daewoo","Arcadia",NULL
432,26,"Brougham","","Daewoo","Brougham",NULL
433,26,"Chairman","","Daewoo","Chairman",NULL
434,26,"Damas","","Daewoo","Damas",NULL
435,26,"Espero","","Daewoo","Espero",NULL
436,26,"Evanda","","Daewoo","Evanda",NULL
437,26,"GX2","","Daewoo","GX2",NULL
438,26,"Gentra","","Daewoo","Gentra",NULL
439,26,"Istana","","Daewoo","Istana",NULL
440,26,"Kalos","","Daewoo","Kalos",NULL
441,26,"Korando","","Daewoo","Korando",NULL
442,26,"Labo","","Daewoo","Labo",NULL
443,26,"Lacetti","","Daewoo","Lacetti",NULL
444,26,"Lanos","","Daewoo","Lanos",NULL
445,26,"Leganza","","Daewoo","Leganza",NULL
446,26,"Lemans","","Daewoo","Lemans",NULL
447,26,"Magnus","","Daewoo","Magnus",NULL
448,26,"Matiz","","Daewoo","Matiz",NULL
449,26,"Musso","","Daewoo","Musso",NULL
450,26,"Nexia","","Daewoo","Nexia",NULL
451,26,"Nubira","","Daewoo","Nubira",NULL
452,26,"Polonez","","Daewoo","Polonez",NULL
453,26,"Prince","","Daewoo","Prince",NULL
454,26,"Racer","","Daewoo","Racer",NULL
455,26,"Rezzo","","Daewoo","Rezzo",NULL
456,26,"Statesman","","Daewoo","Statesman",NULL
457,26,"Super Salon","","Daewoo","Super Salon",NULL
458,26,"Tacuma","","Daewoo","Tacuma",NULL
459,26,"Tico","","Daewoo","Tico",NULL
460,26,"Tosca","","Daewoo","Tosca",NULL
461,26,"Windstorm","","Daewoo","Windstorm",NULL
462,27,"Altis","","Daihatsu","Altis",NULL
463,27,"Applause","","Daihatsu","Applause",NULL
464,27,"Atrai","","Daihatsu","Atrai",NULL
465,27,"Be-go","","Daihatsu","Be-go",NULL
466,27,"Boon","","Daihatsu","Boon",NULL
467,27,"Charade","","Daihatsu","Charade",NULL
468,27,"Coo","","Daihatsu","Coo",NULL
469,27,"Copen","","Daihatsu","Copen",NULL
470,27,"Cuore","","Daihatsu","Cuore",NULL
471,27,"Esse","","Daihatsu","Esse",NULL
472,27,"Extol","","Daihatsu","Extol",NULL
473,27,"Feroza","","Daihatsu","Feroza",NULL
474,27,"Gran Move","","Daihatsu","Gran Move",NULL
475,27,"Hi Jet","","Daihatsu","Hi Jet",NULL
476,27,"Materia","","Daihatsu","Materia",NULL
477,27,"Max","","Daihatsu","Max",NULL
478,27,"Mira","","Daihatsu","Mira",NULL
479,27,"Mobe","","Daihatsu","Mobe",NULL
480,27,"Move","","Daihatsu","Move",NULL
481,27,"Naked","","Daihatsu","Naked",NULL
482,27,"Opti","","Daihatsu","Opti",NULL
483,27,"Pizar","","Daihatsu","Pizar",NULL
484,27,"Rocky","","Daihatsu","Rocky",NULL
485,27,"Sirion","","Daihatsu","Sirion",NULL
486,27,"Sonica","","Daihatsu","Sonica",NULL
487,27,"Storia","","Daihatsu","Storia",NULL
488,27,"Tanto","","Daihatsu","Tanto",NULL
489,27,"Taruna","","Daihatsu","Taruna",NULL
490,27,"Terios","","Daihatsu","Terios",NULL
491,27,"Trevis","","Daihatsu","Trevis",NULL
492,27,"Xenia","","Daihatsu","Xenia",NULL
493,27,"YRV","","Daihatsu","YRV",NULL
494,27,"Zebra","","Daihatsu","Zebra",NULL
495,28,"Limousine","","Daimler","Limousine",NULL
496,28,"XJ","","Daimler","XJ",NULL
497,29,"Guara","","De Tomaso","Guara",NULL
498,29,"Pantera","","De Tomaso","Pantera",NULL
499,30,"Antelope","","Derways","Antelope",NULL
500,30,"Aurora","","Derways","Aurora",NULL
501,30,"Cowboy","","Derways","Cowboy",NULL
502,30,"DADI Shuttle","","Derways","DADI Shuttle",NULL
503,30,"Land Crown","","Derways","Land Crown",NULL
504,30,"Plutus","","Derways","Plutus",NULL
505,30,"Saladin","","Derways","Saladin",NULL
506,30,"Shuttle","","Derways","Shuttle",NULL
507,31,"600","","Dodge","600",NULL
508,31,"Avenger","","Dodge","Avenger",NULL
509,31,"Caliber","","Dodge","Caliber",NULL
510,31,"Caravan","","Dodge","Caravan",NULL
511,31,"Charger","","Dodge","Charger",NULL
512,31,"Dakota","","Dodge","Dakota",NULL
513,31,"Daytona","","Dodge","Daytona",NULL
514,31,"Durango","","Dodge","Durango",NULL
515,31,"Dynasty","","Dodge","Dynasty",NULL
516,31,"Grand Caravan","","Dodge","Grand Caravan",NULL
517,31,"Intrepid","","Dodge","Intrepid",NULL
518,31,"Journey","","Dodge","Journey",NULL
519,31,"Magnum","","Dodge","Magnum",NULL
520,31,"Monaco","","Dodge","Monaco",NULL
521,31,"Neon","","Dodge","Neon",NULL
522,31,"Nitro","","Dodge","Nitro",NULL
523,31,"Omni","","Dodge","Omni",NULL
524,31,"Ram","","Dodge","Ram",NULL
525,31,"Shadow","","Dodge","Shadow",NULL
526,31,"Spirit","","Dodge","Spirit",NULL
527,31,"Stealth","","Dodge","Stealth",NULL
528,31,"Stratus","","Dodge","Stratus",NULL
529,31,"Viper","","Dodge","Viper",NULL
530,32,"Assol","","Doninvest","Assol",NULL
531,32,"Kondor","","Doninvest","Kondor",NULL
532,32,"Orion","","Doninvest","Orion",NULL
533,33,"D8","","Donkervoort","D8",NULL
534,34,"Summit","","Eagle","Summit",NULL
535,34,"Talon","","Eagle","Talon",NULL
536,34,"Vision","","Eagle","Vision",NULL
537,35,"Admiral","","FAW","Admiral",NULL
538,35,"Besturn","","FAW","Besturn",NULL
539,35,"HQ3","","FAW","HQ3",NULL
540,35,"Jinn","","FAW","Jinn",NULL
541,35,"Vita","","FAW","Vita",NULL
542,36,"Polonez","","FSO","Polonez",NULL
543,37,"Tarpan Honker","","FSR","Tarpan Honker",NULL
544,38,"208","","Ferrari","208",NULL
545,38,"308","","Ferrari","308",NULL
546,38,"328","","Ferrari","328",NULL
547,38,"348","","Ferrari","348",NULL
548,38,"355 Berlinetta","","Ferrari","355 Berlinetta",NULL
549,38,"355F1","","Ferrari","355F1",NULL
550,38,"360 Modena","","Ferrari","360 Modena",NULL
551,38,"360 Spider","","Ferrari","360 Spider",NULL
552,38,"365","","Ferrari","365",NULL
553,38,"412","","Ferrari","412",NULL
554,38,"456 GT","","Ferrari","456 GT",NULL
555,38,"512 M","","Ferrari","512 M",NULL
556,38,"550 Barchetta","","Ferrari","550 Barchetta",NULL
557,38,"550 Maranello","","Ferrari","550 Maranello",NULL
558,38,"575 Maranello","","Ferrari","575 Maranello",NULL
559,38,"599 GTB","","Ferrari","599 GTB",NULL
560,38,"612 Scaglietti","","Ferrari","612 Scaglietti",NULL
561,38,"Enzo","","Ferrari","Enzo",NULL
562,38,"F355 GTS","","Ferrari","F355 GTS",NULL
563,38,"F355 Spider","","Ferrari","F355 Spider",NULL
564,38,"F40","","Ferrari","F40",NULL
565,38,"F430","","Ferrari","F430",NULL
